Unnamed: 0,ID,vegetation,climate,STICinst,BESSinst,MOD16inst,PTJPLSMinst,ETinst,ETinstUncertainty,PET,Rn,ESI,RH,Ta,LST,SM,NDVI,NDVI-UQ,albedo,albedo-UQ,LST_err,view_zenith,Rg,EmisWB,time_utc,solar_time,solar_hour,local_time,LE,LE_filt,LEcorr25,LEcorr50,LEcorr75,LEcorr_ann,H_filt,Hcorr25,Hcorr50,Hcorr75,Hcorr_ann,NETRAD_filt,G_filt,SM_surf,SM_rz,AirTempC,SW_IN,RH_percentage,ESIrn_STIC,ESIrn_PTJPLSM,ESIrn_MOD16,ESIrn_BESS,ESIrn_Unc_ECO,ESIrn_LEcorr50,JET,eco_time_utc,Site Name,Date-Time,Site ID,Name,Lat,Long,Elev,Clim,Veg,MAT,MAP,StartDate,EndDate,LE_count,closure_ratio,geometry,elevation_m,time_UTC,ST_K,ST_C,Ta_C,SWin_Wm2,emissivity,orbit,scene,tile,insitu_LE_Wm2,insitu_H_Wm2,insitu_Rn_Wm2,insitu_G_Wm2,insitu_SWin_Wm2,insitu_Ta_C,insitu_RH,insitu_Rn_daylight_Wm2,insitu_LE_daylight_Wm2,insitu_ET_daylight_kg,date_UTC,SZA_deg,KG_climate,COT,AOT,vapor_gccm,ozone_cm,name,NDVI_minimum,NDVI_maximum,C4_fraction,carbon_uptake_efficiency,kn,peakVCmax_C3,peakVCmax_C4,ball_berry_slope_C3,ball_berry_slope_C4,ball_berry_intercept_C3,CI,canopy_height_meters,day_of_year,hour_of_day,lat,lon,wind_speed_mps,PAR_albedo,NIR_albedo,elevation_km,Ca,Rn_Wm2,IGBP,gl_sh,gl_e_wv,RBL_min,RBL_max,CL,Tmin_open,Tmin_closed,VPD_open,VPD_closed,Tmin_C,Topt_C,fAPARmax,field_capacity,wilting_point,SWin_TOA_Wm2,SWin_FLiES_ANN_raw,UV_Wm2,PAR_Wm2,NIR_Wm2,PAR_diffuse_Wm2,NIR_diffuse_Wm2,PAR_direct_Wm2,NIR_direct_Wm2,Rn_BESS_Wm2,LE_BESS_Wm2,ET_daylight_BESS_kg,EF_BESS,Rn_daily_BESS,LE_daily_BESS,GPP_inst_umol_m2_s,AuxiliaryNWP,Rn_verma_Wm2,LE_STIC_Wm2,ET_daylight_STIC_kg,LE_canopy_STIC_Wm2,G_STIC_Wm2,LE_canopy_fraction_STIC,EF_STIC,LE_PTJPLSM_Wm2,ET_daylight_PTJPLSM_kg,G_PTJPLSM,EF_PTJPLSM,LE_canopy_PTJPLSM_Wm2,LE_canopy_fraction_PTJPLSM,LE_soil_PTJPLSM_Wm2,LE_soil_fraction_PTJPLSM,LE_interception_PTJPLSM_Wm2,LE_interception_fraction_PTJPLSM,PET_instantaneous_PTJPLSM_Wm2,ESI_PTJPLSM,LE_PMJPL_Wm2,ET_daylight_PMJPL_kg,G_PMJPL_Wm2,G_Wm2,LE_instantaneous_Wm2,LE_Wm2,H_Wm2,ET_daylight_kg,ET_uncertainty,GPP_inst_g_m2_s,ET_canopy_inst_kg_m2_s,WUE
617,US-SRG,GRA,Bsk,162.8123,723.31537,92.80494,39.891544,158.34048461914062,275.89105,141.93121,208.32016,0.27872208,0.33922237,23.862122,301.12,0.07951808,0.25034055,0.010568174,0.11677971,0.004857372,0.8,11.603357,363.07205,0.976,2020-06-17 14:30:00,2020-06-17 07:35:12,7.0,2020-06-17 07:30:00,31.71,31.71,37.85465618324774,45.40729300305931,61.974350842418225,45.37197976184634,69.47,82.93166083412868,99.47791374716276,135.77288404360752,99.40054979676648,135.0,-19.64,0.037695,0.0527984615384615,27.56,347.7,0.1099,0.7815484588721514,0.1914915195917668,0.4454918813426411,3.472133325934466,1.3243607819809664,0.3363503185411801,127.80862,2020-06-17 14:35:12,US-SRG,2020-06-17 14:35:12,US-SRG,Santa Rita Grassland,31.7894,-110.8277,1291.0,Bsk,GRA,17.0,420.0,10/1/18 07:00,1/1/24 06:30,80385,0.67,POINT (-110.8277 31.7894),1291.0,2020-06-17T14:35:12Z,301.12,27.970000000000027,23.862122,458.09506,0.976,11051,1,12SWA,45.40729300305931,99.47791374716276,135.0,-19.64,347.7,27.56,0.1099,143.6869537625269,42.19112526003683,0.8725367747228243,6/17/20,63.2616284,2,0.0,0.049596692,0.710339176,0.29612988,Santa Rita Grassland,0.2116718389624474,0.5799489157777623,0.6583911856853132,0.0813326167352959,0.449978528297716,64.13218849370139,59.0682408211606,9.500000000000002,5.106609450102737,0.0063326176670183,0.2980392156862745,0.0,169,7.194820000000001,31.7894,-110.8277,3.0166374430841896,0.0664641498632967,0.1551821252728498,1.291,400,291.1930797045653,7.0,0.04,0.04,20.0,55.0,0.0065,8.8,-8.0,650.0,4400.0,9.493288,20.45,0.3329,0.25,0.11,580.7415,458.09506,24.67037,199.81377,234.43977,27.133215,6.4944863,172.68056,227.94528,255.97736444547508,40.825428602796165,1.0599290527158296,0.1881174279631641,272.4489461431887,51.25239499973128,4.045753214135227,,291.1930797045653,167.946271715281,4.248882316591773,138.91415267429963,37.84190903479532,0.8271344832816565,0.6628991343173629,52.45120918200944,1.3269661356645561,37.84190903479532,0.2070296697005472,49.373046094907366,0.9413137821776304,2.245656030884351,0.04281418990917377,0.83250705621773,0.01587202791319588,232.46292342504063,0.2256325800657098,44.23862656677489,1.1191955392051398,37.84190903479532,37.84190903479532,48.344917874392166,48.344917874392166,205.00625279537783,1.223080837434848,1.3374403340182535,4.859354185497821e-05,2.0152263712207087e-05,2.411319271568634
164,US-Whs,OSH,Bsk,121.07398,244.72348,59.897415,22.766352,40.58411407470703,84.10627,179.36337,295.87183,0.12671222,0.30392602,19.457222,300.58,0.07613562,0.13730773,0.0007480156,0.11450338,0.000603904,0.68,24.008522,485.7017,0.964,2022-02-15 22:00:00,2022-02-15 14:57:44,14.0,2022-02-15 15:00:00,14.76886525,14.76886525,16.016827827448118,18.673592895922063,22.69741071523368,18.31928634376878,275.169855,298.42158596706435,347.9217775041928,422.89255874863494,341.3204252045251,394.2,85.25078618,0.0113999999999999,0.0619333333333333,20.83,706.1,0.04004197508,0.4092109073040174,0.0769466697792757,0.2024437912862471,0.8271266649481297,0.2842658931064846,0.0473708597055354,90.4856975,2022-02-15 21:57:44,US-Whs,2022-02-15 21:57:44,US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,1370.0,Bsk,OSH,17.6,320.0,10/1/18 07:00,1/1/24 06:30,80919,0.8,POINT (-110.0522 31.7438),1370.0,2022-02-15T21:57:44Z,300.58,27.430000000000007,19.457222,582.39136,0.964,20492,6,12SWA,18.673592895922063,347.9217775041928,394.2,85.25078618,706.1,20.83,0.04004197508,275.9451798567942,16.678754046740977,0.2673600422906796,2/15/22,58.48861234,2,0.0,0.030817926,0.314431899,0.271545494,Walnut Gulch Lucky Hills Shrub,0.1397700717007342,0.3791938485295186,0.5383724796821573,0.0852152226652387,0.5664566367696335,70.34435464914428,50.52651235742663,9.5,5.417217831929673,0.0102152214273871,0.2823529411764706,0.0,46,14.613186666666667,31.7438,-110.0522,8.18257840941791,0.0714679013004915,0.1564272078268886,1.37,400,380.3664591823031,10.0,0.02,0.02,20.0,50.0,0.007,12.02,-8.0,650.0,4200.0,8.220379,17.87,0.2522,0.25,0.11,713.18945,582.39136,32.621933,251.43657,299.65106,27.067675,0.5131349,224.3689,299.13794,299.30678750351103,28.63526837302199,0.3906952903473429,0.11632753386868024,209.51868419587933,24.37279183191747,0.959719541675135,,380.3664591823031,135.96731108708227,1.7485343835417435,119.59193999795855,48.470752037176304,0.8795639116622975,0.4096687849825919,29.81145985563896,0.3833742254987599,48.470752037176304,0.08982176995318415,27.387440760178578,0.9186883464547319,2.1355698426567336,0.0716358693267006,0.2884492528036504,0.009675784218567513,284.09558709516926,0.1049346107782111,9.385124278091224,0.120692336730442,48.470752037176304,48.470752037176304,29.223364114330476,29.223364114330476,302.67234303079636,0.3870347579230514,0.6373389971750218,1.1527191415060045e-05,1.1178547249052481e-05,1.0311886829513661
116,US-Whs,OSH,Bsk,223.24939,675.78174,91.49716,132.20573,139.92617797851562,233.50824,140.55794,264.17822,0.93938184,0.36942443,11.891122,284.22,0.30906096,0.20078024,0.013086584,0.110094436,0.020666456,0.84,20.51246,390.39264,0.964,2019-12-12 17:00:00,2019-12-12 10:05:38,9.0,2019-12-12 10:00:00,55.95768475,55.95768475,58.67968722053198,71.24246877687487,89.15235370947089,69.40985869375399,94.06069618,98.63617939603706,119.75327858314874,149.85845989631363,116.67279766234296,283.5,112.8702958,0.1630833333,0.21504166665,12.29,454.9,0.43754317185,0.8450711417466588,0.500441444415819,0.3463463414962823,2.558052438993646,0.8839042067888867,0.2512961861618161,177.72755999999998,2019-12-12 17:05:38,US-Whs,2019-12-12 17:05:38,US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,1370.0,Bsk,OSH,17.6,320.0,10/1/18 07:00,1/1/24 06:30,80919,0.8,POINT (-110.0522 31.7438),1370.0,2019-12-12T17:05:38Z,284.22,11.07000000000005,11.891122,487.9962,0.964,8138,1,12SWA,71.24246877687487,119.75327858314874,283.5,112.8702958,454.9,12.29,0.43754317185,189.87996870902265,79.2799694843902,1.1612602025292469,12/12/19,63.51825217,2,0.0,0.023927923,0.698475759,0.272419829,Walnut Gulch Lucky Hills Shrub,0.1397700717007342,0.3791938485295186,0.5383724796821573,0.0852152226652387,0.5664566367696335,70.34435464914428,50.52651235742663,9.5,5.417217831929673,0.0102152214273871,0.2823529411764706,0.0,346,9.74652,31.7438,-110.0522,1.3330084670221722,0.0651614503654838,0.1444113618747652,1.37,400,351.785907919985,10.0,0.02,0.02,20.0,50.0,0.007,12.02,-8.0,650.0,4200.0,8.220379,17.87,0.2522,0.25,0.11,613.2529,487.9962,26.126007,212.94731,250.06334,25.982283,5.372857,186.96503,244.69048,359.680921312095,75.75534236776934,0.8447257483214841,0.2393900931342171,240.9037110545786,57.6699618257341,0.5289011695965444,,351.785907919985,259.07723049279343,2.6782846154540216,109.67838219092437,17.942262559662662,0.42334242180335185,0.7760436183027165,232.5126684515825,2.403665893863093,17.942262559662662,0.6964717516208169,33.14424754542961,0.14254813626351473,198.51427352790105,0.8537783117363296,0.8541473782518434,0.0036735520001556715,244.37388325334155,0.9514628378292677,21.740129219307896,0.22474477404016568,17.942262559662662,17.942262559662662,154.13400540967592,154.13400540967592,179.70963995064642,1.6241958210922887,1.031369821740613,6.352631948024094e-06,1.3528264304256983e-05,0.46958218771827887
665,US-Rms,CSH,Bsh,128.5335,161.25084,511.1619,444.21902,209.99951171875,168.85843,444.41925,663.27966,0.9991272,0.3550606,19.036564,303.06,0.22002424,0.40952253,0.003776081,0.06743267,0.0018989585,0.88,14.940994,886.7202,0.972,2019-06-22 20:30:00,2019-06-22 13:37:33,12.0,2019-06-22 13:30:00,167.038,167.038,196.20574981000144,240.83562826085227,317.4933950327701,238.35536844195155,362.988,426.3720393684838,523.3566196383472,689.9405672730464,517.9668008477539,737.5,102.16089311,0.1425,0.192,10.97,1016.0,0.4116462915,0.1937847754897232,0.6697311055792062,0.7706581866237237,0.2431113898472327,0.254581046552822,0.3265567840825115,302.73493,2019-06-22 20:37:33,US-Rms,2019-06-22 20:37:33,US-Rms,RCEW Mountain Big Sagebrush,43.0645,-116.7486,2111.0,Bsh,CSH,5.4,800.0,10/1/18 07:00,10/1/22 07:00,44099,0.67,POINT (-116.7486 43.0645),2111.0,2019-06-22T20:37:33Z,303.06,29.910000000000025,19.036564,1036.2339,0.972,5456,1,11TNH,240.83562826085227,523.3566196383472,737.5,102.16089311,1016.0,10.97,0.4116462915,381.382091409482,144.56908853234336,3.2267522597712395,6/22/19,22.21603626,4,0.18774423,0.080495948,0.848317589,0.359685833,RCEW Mountain Big Sagebrush,0.0161373719521191,0.5938638974956257,0.0003628479069995,0.0900000035762787,0.7099999785423279,132.97066457862053,40.0,7.78216673191811,5.800000190734864,0.0149999996647238,0.2117647058823529,4.572696446649116,173,12.833426666666668,43.0645,-116.7486,2.8337691187581893,0.0280464229240735,0.103013333776697,2.111,400,814.1000129839495,10.0,0.02,0.02,20.0,50.0,0.007,12.02,-8.0,650.0,4200.0,13.390159,0.0,0.3586,0.25,0.1,1194.4017,1036.2339,63.16262,442.7419,532.28864,55.651344,85.25676,387.09058,447.03186,712.6723793026113,161.50284249443374,2.143056120750556,0.26052845589658236,368.54302712976477,96.01594578956987,13.967441850207525,,814.1000129839495,248.14272558594703,3.273416468367417,219.42243799571736,101.79418425973911,0.8842589984356318,0.34836542897646655,604.5197178755977,7.974623456214965,101.79418425973911,0.8486800100433475,281.1979313483238,0.46515923804191056,318.7690556506761,0.5273096083133464,4.55273087659794,0.007531153644743203,605.2277763047384,0.9988300959459201,239.60339256873482,3.1607684217184153,101.79418425973911,101.79418425973911,243.87305907734094,243.87305907734094,468.43276964686936,3.2170924450429164,2.258426823161555,0.00016776294406284256,0.00011477466585645868,1.4616722498033923
19,US-xAB,ENF,Csb,311.48282,290.73126,672.2751,478.82382,439.82122802734375,153.78767,583.2378,674.4118,0.82067823,0.51159763,26.457556,306.18,0.30604768,0.8993612,0.010040267,0.08848393,0.010040268,1.28,8.71521,857.6029,0.974,2021-06-20 20:30:00,2021-06-20 12:21:02,12.0,2021-06-20 12:30:00,259.526995403491,259.526995403491,272.05651316538865,331.1867474235147,510.655682595448,284.79554242024807,273.907733957342,287.1315290866462,349.5382488532337,538.9517981923099,300.57644502146036,704.51,11.308,0.34835,0.2669363636363636,28.275866666666666,948.235,0.3153,0.4618584965446927,0.7099873104236908,0.9968317576887,0.4310886316046072,0.2280322942154926,0.4700951688741319,395.15332,2021-06-20 20:21:02,US-xAB,2021-06-20 20:21:02,US-xAB,NEON Abby Road (ABBY),45.7624,-122.3303,363.0,Csb,ENF,10.0,2450.59,10/1/18 08:00,12/1/22 00:00,16417,0.82,POINT (-122.3303 45.7624),363.0,2021-06-20T20:21:02Z,306.18,33.03000000000003,26.457556,1009.15967,0.974,16765,2,10TER,331.1867474235147,349.5382488532337,704.51,11.308,948.235,28.275866666666666,0.3153,359.0840751159139,171.55733377748558,3.913770259723172,6/20/21,22.44651048,3,0.0,0.048817239,1.635359203,0.304650278,NEON Abby Road (ABBY),0.5659936774015306,0.8625376532807679,0.0016622462326137,0.0799999982118606,0.4099999964237213,63.0,63.0,9.500000000000002,5.0,0.0049999998882412,0.188235294117647,6.244725379160608,171,12.194646666666667,45.7624,-122.3303,1.294894627297918,0.0174063346488656,0.1593041407828899,0.363,400,812.0761181627745,1.0,0.04,0.04,65.0,95.0,0.0032,8.31,-8.0,650.0,3000.0,11.940895,6.69,0.604,0.33,0.16,1192.6815,1009.15967,61.92491,446.99887,501.9806,24.732002,0.0,422.26688,501.9806,743.1912823398444,286.44430949310845,3.6919826521936354,0.4272322428846192,378.7996682136706,161.83543185487608,24.437809355410877,,812.0761181627745,445.57557692091314,5.4698471502606205,402.8363347007767,42.8784656306921,0.9040808239188515,0.5792731886975288,604.3301340974,7.4187043299188815,42.8784656306921,0.7856629984608462,518.0778832314207,0.8572762700393856,38.85410459560425,0.06429284658067726,47.398146270375044,0.0784308833799373,730.7604038090668,0.8269880674258583,360.44661731090997,4.424811422887089,42.8784656306921,42.8784656306921,403.0110971159115,403.0110971159115,366.1865554161709,4.947329286573854,1.401780861993911,0.00029352252816784003,0.00021146036050262071,1.3880735257906756
286,US-Rls,CSH,Bsh,5.7646866,86.43221,142.85535,73.130615,113.10787963867188,48.6232,236.4493,343.87866,0.30641934,0.36085376,25.23694,304.32,0.14581951,0.24032487,0.0009954647,0.08084115,0.0009956039,0.96,15.534834,503.62524,0.968,2020-08-29 17:00:00,2020-08-29 09:50:58,9.0,2020-08-29 10:00:00,57.7695,57.7695,67.8890302778129,79.56475697204446,100.4364199617538,79.05248187719016,173.164,203.4972786509697,238.4952540061296,301.05803626926206,236.9597100854561,326.1,103.46726447,0.119,0.1861999999999999,25.7,585.8,0.21330827444,0.0167637229946167,0.2126640106135111,0.4154237137018039,0.2513450820123586,0.1413963867371124,0.2439888284944632,79.7814125,2020-08-29 16:50:58,US-Rls,2020-08-29 16:50:58,US-Rls,RCEW Low Sagebrush,43.1439,-116.7356,1608.0,Bsh,CSH,8.4,333.0,10/1/18 07:00,10/1/22 07:00,53237,0.72,POINT (-116.7356 43.1439),1608.0,2020-08-29T16:50:58Z,304.32,31.170000000000016,25.23694,641.7417,0.968,12184,2,11TNH,79.56475697204446,238.4952540061296,326.1,103.46726447,585.8,25.7,0.21330827444,217.02281141742773,77.55987549050565,1.5015530240825283,8/29/20,51.06830522,2,0.0,0.291116177,0.988602388,0.288610999,RCEW Low Sagebrush,-0.0172163366902008,0.4867265894776473,0.0004189586710382,0.0900000035762786,0.7099999785423278,107.33151697790052,40.0,8.583390094440608,5.800000190734862,0.0149999996647238,0.2862745098039215,0.0,242,9.05096,43.1439,-116.7356,2.4218756081728703,0.0457881490079809,0.106847424066837,1.608,400,472.3499257385926,10.0,0.02,0.02,20.0,50.0,0.007,12.02,-8.0,650.0,4200.0,5.478052,0.0,0.2933,0.33,0.14,823.65204,641.7417,35.010887,278.33026,329.18512,85.972176,37.280445,192.3581,291.90466,409.44783387998723,72.92200087329923,1.0942321296787105,0.20742100235265537,272.4916284495883,56.52048670572095,4.845260209455863,,472.3499257385926,226.98650387499148,3.387415963418108,205.7151163853952,64.54401747501608,0.9062878755940877,0.5566042552975561,106.79110472190818,1.5936889934446112,64.54401747501608,0.2618674780280183,82.5660487354206,0.7731547393430249,22.54891342505641,0.21114973465042264,1.676142561431182,0.015695526006552506,381.3407796759897,0.28004113489421295,44.2467501935602,0.6603130378957853,64.54401747501608,64.54401747501608,89.85655279760371,89.85655279760371,317.94935546597287,1.3439605615616608,1.0374901359741844,5.819642037577437e-05,3.3700428055273714e-05,1.7268748124007085
65,US-Me6,ENF,Csb,82.3695,116.90623,330.62222,158.18687,174.15159606933594,95.42112,203.84036,391.81326,0.77603316,0.44912684,7.852001,290.18,0.16300535,0.449562,0.0069984165,0.06756737,0.0013997761,0.88,25.686274,563.0437,0.976,2021-04-15 17:00:00,2021-04-15 08:59:43,8.0,2021-04-15 09:00:00,38.30085,38.30085,32.27727224248527,39.42235906002066,49.322396012687385,46.473850516741834,225.03044,189.63988461682305,231.61968481416045,289.7857482690146,273.04958063010724,370.0,130.08858,0.1417222333333333,0.1929511066666666,9.452595,561.46667,0.3454,0.2102264226585899,0.4037302617068141,0.8438260103805574,0.2983723164448288,0.2435372401638474,0.1065469163784342,137.54655,2021-04-15 16:59:43,US-Me6,2021-04-15 16:59:43,US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,998.0,Csb,ENF,7.59,494.0,10/1/18 08:00,12/31/22 08:00,56728,0.81,POINT (-121.6078 44.3233),998.0,2021-04-15T16:59:43Z,290.18,17.03000000000003,7.852001,639.1496,0.976,15736,6,10TFQ,39.42235906002066,231.61968481416045,370.0,130.08858,561.46667,9.452595,0.3454,254.6534922276726,41.84478340583991,0.8147891090672392,4/15/21,53.18603904,4,0.0,0.069070355,0.690517976,0.341990767,Metolius Young Pine Burn,0.2429099942186521,0.7695289404153574,0.0003239199591024,0.0799999982118606,0.4099999964237213,113.49030088098708,113.49030088098708,7.499999999999998,4.202784638455812,0.0094289735507361,0.2470588235294117,9.92549467075966,105,8.876146666666667,44.3233,-121.6078,1.6535450849879,0.0276953898624268,0.100693343178005,0.998,400,461.44970285797166,8.0,0.08,0.08,25.0,45.0,0.0065,11.39,-8.0,650.0,3500.0,4.253108,0.0,0.4851,0.28,0.11,792.9343,639.1496,36.7855,278.1478,325.4597,33.56942,0.0,244.57837,325.4597,397.6304846981617,113.37442844756607,1.7536543247713114,0.3290883549181787,273.67024741775407,90.06169151275964,7.298286084574259,,461.44970285797166,100.8046574900515,1.4530764431423377,73.67787975507548,32.438819042706534,0.7308975754651695,0.2349699303513676,210.107818976655,3.0286569080910035,32.438819042706534,0.48974939075701585,113.90729467067403,0.5421373427484402,90.54497674273212,0.4309452983888835,5.655547563248854,0.026917358862676308,282.27308533320223,0.7443423758543556,72.15322447061526,1.0400724865848532,32.438819042706534,32.438819042706534,107.08954296880879,107.08954296880879,321.92134084645636,1.6033653839568247,0.7429952793130213,8.765971416182142e-05,4.6492773334968994e-05,1.885448164820256
794,US-xRN,DBF,Cfa,64.364426,138.42224,117.00898,63.432644,130.7018585205078,32.912685,88.64337,147.15878,0.7107242,0.491245,14.056026,288.16,0.38254184,0.42552468,0.01912766,0.27225587,0.012732515,0.88,13.606475,326.69196,0.978,2020-11-28 20:00:00,2020-11-28 15:11:34,14.0,2020-11-28 15:00:00,44.7550404338693,44.7550404338693,41.04155753317982,57.12410411345671,85.98339201678105,65.52387251769284,170.888043469677,156.70886228237353,218.1168041023438,328.31014094033367,250.18961588584156,210.88,0.737,0.1985249999999999,0.2044714285714285,14.416533333333334,387.84666666666664,0.4993,0.4373808073157442,0.4310489934749391,0.7951206173359142,0.940631880748128,0.2236542393189179,0.2708844087322491,90.686703,2020-11-28 20:11:34,US-xRN,2020-11-28 20:11:34,US-xRN,NEON Oak Ridge National Lab (ORNL),35.9641,-84.2826,334.0,Cfa,DBF,14.4,1340.32,10/1/18 05:00,12/1/22 00:00,26640,0.65,POINT (-84.2826 35.9641),334.0,2020-11-28T20:11:34Z,288.16,15.010000000000048,14.056026,388.0298,0.978,13597,5,16SGE,57.12410411345671,218.1168041023438,210.88,0.737,387.84666666666664,14.416533333333334,0.4993,158.2672736962414,43.02249525502654,0.619665635182923,11/28/20,67.9659381,3,0.0,0.050029161,0.767039561,0.273961272,NEON Oak Ridge National Lab (ORNL),0.3711365920257157,0.8255869922117649,0.0960287689502493,0.0799999982118606,0.4099999964237212,66.53013331881384,66.53013331881384,9.5,4.9297972562031225,0.0053900150815122,0.2784313725490196,22.09015092022609,333,14.564493333333331,35.9641,-84.2826,0.425396352295053,0.1033295710070323,0.4502160594248052,0.334,400,192.59168346953203,4.0,0.01,0.01,65.0,100.0,0.0028,9.94,-6.0,650.0,2900.0,14.414353,6.0,0.5194,0.31,0.13,514.3785,388.0298,20.812279,172.40186,195.48868,31.242857,10.623514,141.159,184.86516,197.23191937176853,52.98106191044727,0.6649677989286501,0.31189317315729803,148.02427050856744,46.16775943321135,2.702079509977034,,192.59168346953203,128.618555257862,1.518625131698292,50.2287068989384,16.269027613901315,0.3905245770972699,0.729449965653717,102.37784499487591,1.2087957917629244,16.269027613901315,0.580627852377069,26.927142133604413,0.26301727815185144,71.72462002780912,0.7005873197604324,3.726082833462388,0.036395402087716154,135.70693161565094,0.7544039480962575,46.474183010573434,0.5487300191912899,16.269027613901315,16.269027613901315,77.67945345266159,77.67945345266159,98.64320240296914,0.9368817953457873,0.3961035630275678,3.245467699433415e-05,1.0990670258614045e-05,2.9529297331886997
122,US-Whs,OSH,Bsk,3.3277886,478.31195,125.68851,47.91506,136.84552001953125,186.41508,182.1431,325.43878,0.26306272,0.31745735,13.828589,294.04,0.09140297,0.22503538,0.0045879753,0.12749287,0.00091543945,0.68,26.539156,521.8996,0.96,2020-04-15 15:30:00,2020-04-15 08:42:56,8.0,2020-04-15 08:30:00,58.22554541,58.22554541,59.17349703674449,68.6547018438726,79.90009615687678,72.22291088937264,99.46937707,101.08880643113008,117.28598465242936,136.4970089433059,123.38172027005515,305.1,56.15690695,0.0496999999999999,0.1408999999999999,14.52,539.4,0.19340956765,0.0102255441100166,0.1472321768167886,0.3862124544591765,1.4697447857935062,0.5728115131208394,0.2250236048635614,86.801785,2020-04-15 15:42:56,US-Whs,2020-04-15 15:42:56,US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,1370.0,Bsk,OSH,17.6,320.0,10/1/18 07:00,1/1/24 06:30,80919,0.8,POINT (-110.0522 31.7438),1370.0,2020-04-15T15:42:56Z,294.04,20.890000000000043,13.828589,629.37067,0.96,10075,1,12SWA,68.6547018438726,117.28598465242936,305.1,56.15690695,539.4,14.52,0.19340956765,246.06171977142657,67.86006311372061,1.278438659653229,4/15/20,54.64608918,2,0.0,0.053152245,0.271594316,0.337466981,Walnut Gulch Lucky Hills Shrub,0.1397700717007342,0.3791938485295186,0.5383724796821573,0.0852152226652387,0.5664566367696335,70.34435464914428,50.52651235742663,9.5,5.417217831929673,0.0102152214273871,0.2823529411764706,0.0,106,8.363186666666667,31.7438,-110.0522,0.8406053093568088,0.0775666471223207,0.1652120135686283,1.37,400,423.3316366448524,10.0,0.02,0.02,20.0,50.0,0.007,12.02,-8.0,650.0,4200.0,8.220379,17.87,0.2522,0.25,0.11,765.2582,629.37067,36.608223,270.34036,323.64786,30.016077,0.0,240.32428,323.64786,359.07349316068144,69.21516398604095,1.2397756172797134,0.2272439140001142,289.5910889919726,65.80781252209124,2.516789597586147,,423.3316366448524,133.7052067626333,2.2543152911105406,109.70755600333773,41.842766556099896,0.8205182031399976,0.350482588735884,62.17810284559378,1.0483439756082784,41.842766556099896,0.16298798659873928,59.21106729582676,0.9522816648630302,2.2881965382090734,0.036800681164096107,0.6788390115579492,0.010917653972873746,292.1334025191944,0.21284147005924256,30.902532696684364,0.5210272186022906,41.842766556099896,41.842766556099896,65.69663341581736,65.69663341581736,315.79223667293513,1.144059796443996,0.6284531308172508,3.0229159856607208e-05,2.416778256972521e-05,1.2508040309198676
74,US-Me6,ENF,Csb,236.9748,62.29694,441.64267,202.56717,125.94729614257812,135.9749,458.29666,621.8002,0.4420001,0.41253823,26.635187,320.74,0.11507081,0.38618034,0.01945059,0.06981799,0.007799638,1.16,8.066406,884.30133,0.95,2021-06-20 20:30:00,2021-06-20 12:21:02,12.0,2021-06-20 12:30:00,104.83963,104.83963,105.01460611933985,132.35939928605058,195.8935726119831,127.21130974509764,280.26618,280.73394098464485,353.8343584863484,523.6792926731345,340.07204942496736,693.7,170.26395,0.085525,0.12405,25.71877,956.33333,0.3085,0.3811108455738676,0.3257753374797885,0.7102645994645869,0.100188034677377,0.2186794085945935,0.1908020747960942,219.770985,2021-06-20 20:21:02,US-Me6,2021-06-20 20:21:02,US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,998.0,Csb,ENF,7.59,494.0,10/1/18 08:00,12/31/22 08:00,56728,0.81,POINT (-121.6078 44.3233),998.0,2021-06-20T20:21:02Z,320.74,47.59000000000003,26.635187,1031.3458,0.95,16765,2,10TFQ,132.35939928605058,353.8343584863484,693.7,170.26395,956.33333,25.71877,0.3085,353.7377547608482,89.44839914052946,2.016279935942553,6/20/21,21.0947282,4,0.0,0.078309559,1.57275057,0.299267267,Metolius Young Pine Burn,0.2429099942186521,0.7695289404153574,0.0003239199591024,0.0799999982118606,0.4099999964237213,113.49030088098708,113.49030088098708,7.499999999999998,4.202784638455812,0.0094289735507361,0.2470588235294117,9.92549467075966,171,12.242813333333334,44.3233,-121.6078,1.67228975210824,0.0263408150811427,0.1127420242984304,0.998,400,758.167255180616,8.0,0.08,0.08,25.0,45.0,0.0065,11.39,-8.0,650.0,3500.0,4.253108,0.0,0.4851,0.28,0.11,1203.9733,1031.3458,62.84764,451.75275,518.722,30.070612,0.0,421.68213,518.722,526.1436931653212,58.69108625512739,0.822234004355575,0.13595747431609262,268.2959329708539,36.47683741599698,0.8926783814141557,,758.167255180616,191.1884336948953,2.750278392004149,127.54409475759485,152.35513387007762,0.6671119810580898,0.3155903075714333,238.505724500027,3.43094573131195,152.35513387007762,0.3936958606639851,204.82623094555592,0.8587895798934283,25.558331074452948,0.10716024165889593,8.121162480018128,0.034050178447675834,576.824308128175,0.4134807100518883,85.42762972305684,1.228891097472952,152.35513387007762,152.35513387007762,138.30803170897607,138.30803170897607,467.50408960156244,1.9895847447385506,1.069902856678431,1.0721960039165423e-05,8.360254324308405e-05,0.1282492089743022
